data_inicio,nome,id_chamado
01/01,Abolição,3
01/01,Anchieta,3
01/01,Anil,2
01/01,Bangu,14
01/01,Barra da Tijuca,46
01/01,Benfica,2
01/01,Bento Ribeiro,11
01/01,Bonsucesso,2
01/01,Botafogo,11
01/01,Brás de Pina,2
01/01,Cachambi,1
01/01,Cacuia,1
01/01,Caju,3
01/01,Campinho,2
01/01,Campo Grande,34
01/01,Cascadura,1
01/01,Catete,3
01/01,Centro,12
01/01,Cidade Nova,1
01/01,Colégio,4
01/01,Complexo do Alemão,2
01/01,Copacabana,45
01/01,Cordovil,1
01/01,Cosmos,7
01/01,Curicica,6
01/01,Del Castilho,2
01/01,Deodoro,2
01/01,Engenheiro Leal,1
01/01,Engenho da Rainha,1
01/01,Engenho de Dentro,1
01/01,Estácio,5
01/01,Flamengo,6
01/01,Freguesia (Ilha),1
01/01,Freguesia (Jacarepaguá),2
01/01,Galeão,5
01/01,Gardênia Azul,1
01/01,Glória,4
01/01,Grajaú,7
01/01,Grumari,1
01/01,Guadalupe,1
01/01,Guaratiba,8
01/01,Higienópolis,2
01/01,Honório Gurgel,3
01/01,Humaitá,2
01/01,Inhaúma,2
01/01,Inhoaíba,5
01/01,Ipanema,9
01/01,Irajá,5
01/01,Itanhangá,3
01/01,Jacarepaguá,6
01/01,Jacaré,3
01/01,Jardim Botânico,1
01/01,Jardim Carioca,5
01/01,Jardim Guanabara,5
01/01,Jardim Sulacap,1
01/01,Joá,7
01/01,Lagoa,10
01/01,Lapa,2
01/01,Laranjeiras,6
01/01,Leblon,5
01/01,Leme,1
01/01,Lins de Vasconcelos,2
01/01,Madureira,1
01/01,Magalhães Bastos,3
01/01,Maracanã,1
01/01,Marechal Hermes,5
01/01,Maré,2
01/01,Moneró,3
01/01,Méier,7
01/01,Olaria,7
01/01,Osvaldo Cruz,3
01/01,Paciência,4
01/01,Padre Miguel,12
01/01,Pavuna,3
01/01,Pechincha,6
01/01,Pedra de Guaratiba,2
01/01,Penha,5
01/01,Penha Circular,1
01/01,Piedade,5
01/01,Pilares,5
01/01,Praça Seca,2
01/01,Praça da Bandeira,1
01/01,Quintino Bocaiúva,1
01/01,Ramos,1
01/01,Realengo,22
01/01,Recreio dos Bandeirantes,39
01/01,Riachuelo,2
01/01,Ribeira,3
01/01,Rio Comprido,4
01/01,Rocha,2
01/01,Rocha Miranda,4
